feature,star neighbors
0,32 33 34 35 36 37 38 40 41 42 49 50 51 52 53 54 55 56 57 58 59 60 71 72 73 74 75 76 77 78 79 80 82 86 88
1,32 33 34 35 36 37 38 40 41 42 49 50 51 52 53 54 55 56 57 58 59 60 71 72 73 74 75 76 77 78 79 80 82 86 88
2,32 33 34 35 36 37 38 40 41 42 49 50 51 52 53 54 55 56 57 58 59 60 71 72 73 74 75 76 77 78 79 80 82 86 88
3,32 33 34 35 36 37 38 40 41 42 49 50 51 52 53 54 55 56 57 58 59 60 71 72 73 74 75 76 77 78 79 80 82 86 88
4,32 33 34 35 36 37 38 40 41 42 49 50 51 52 53 54 55 56 57 58 59 60 71 72 73 74 75 76 77 78 79 80 82 86 88
5,22 23 25 26 43 61 62 63 64 65 66 67 81 83
6,27 44 48 68
7,27 44 48 68
8,27 44 48 68
9,27 44 48 68
10,27 44 48 68
11,27 44 48 68
12,22 23 25 26 43 64 65 66 67 81 83
13,22 23 25 26 43 64 65 66 67 81 83
14,22 23 25 26 43 64 65 66 67 81 83
15,22 23 25 26 43 64 65 66 67 81 83
16,22 23 25 26 43 64 65 66 67 81 83
17,32 33 34 35 36 37 38 40 41 42 49 50 51 52 53 54 55 56 57 58 59 60 71 72 73 74 75 76 77 78 79 80 82 86 88
18,32 33 34 35 36 37 38 40 41 42 49 50 51 52 53 54 55 56 57 58 59 60 71 72 73 74 75 76 77 78 79 80 82 86 88
19,32 33 34 35 36 37 38 40 41 42 49 50 51 52 53 54 55 56 57 58 59 60 71 72 73 74 75 76 77 78 79 80 82 86 88
20,33 34 35 49 50 51 52 53 54 55 56 57 58 59 60 71 72 73 74 75 76 77 78 79 80
21,70
22,64 65 66 67 81 83
23,64 65 66 67 81 83
24,
25,64 65 66 67 81 83
26,64 65 66 67 81 83
27,44 48 68
28,
29,
30,84
31,84
32,49 50 51 52 53 54 55 56 57 58 59 60 71 72 73 74 75 76 77 78 79 80 82 86 88
33,49 50 51 52 53 54 55 56 57 58 59 60 71 72 73 74 75 76 77 78 79 80 82 86 88
34,49 50 51 52 53 54 55 56 57 58 59 60 71 72 73 74 75 76 77 78 79 80 82 86 88
35,49 50 51 52 53 54 55 56 57 58 59 60 71 72 73 74 75 76 77 78 79 80 82 86 88
36,49 50 51 52 53 54 55 56 57 58 59 60 71 72 73 74 75 76 77 78 79 80 82 86 88
37,49 50 51 52 53 54 55 56 57 58 59 60 71 72 73 74 75 76 77 78 79 80 82 86 88
38,49 50 51 52 53 54 55 56 57 58 59 60 71 72 73 74 75 76 77 78 79 80 82 86 88
39,
40,49 50 51 52 53 54 55 56 57 58 59 60 71 72 73 74 75 76 77 78 79 80 82 86 88
41,49 50 51 52 53 54 55 56 57 58 59 60 71 72 73 74 75 76 77 78 79 80 82 86 88
42,49 50 51 52 53 54 55 56 57 58 59 60 71 72 73 74 75 76 77 78 79 80 82 86 88
43,64 65 66 67 81 83
44,68
45,69 85
46,69 85
47,69 85
48,68
49,71 72 73 74 75 76 77 78 79 80 82 86 88
50,71 72 73 74 75 76 77 78 79 80 82 86 88
51,71 72 73 74 75 76 77 78 79 80 82 86 88
52,71 72 73 74 75 76 77 78 79 80 82 86 88
53,71 72 73 74 75 76 77 78 79 80 82 86 88
54,71 72 73 74 75 76 77 78 79 80 82 86 88
55,71 72 73 74 75 76 77 78 79 80 82 86 88
56,71 72 73 74 75 76 77 78 79 80 82 86 88
57,71 72 73 74 75 76 77 78 79 80 82 86 88
58,71 72 73 74 75 76 77 78 79 80 82 86 88
59,71 72 73 74 75 76 77 78 79 80 82 86 88
60,71 72 73 74 75 76 77 78 79 80 82 86 88
61,64 65 66 67 81
62,64 65 66 67 81
63,64 65 66 67 81
64,81 83
65,81 83
66,81 83
67,81 83
68,
69,85
70,
71,82 86 88
72,82 86 88
73,82 86 88
74,82 86 88
75,82 86 88
76,82 86 88
77,82 86 88
78,82 86 88
79,82 86 88
80,82 86 88
81,83
82,
83,
84,
85,
86,
87,
88,
89,
