feature,star neighbors
2913,3531
2914,3083 3084 3085 3086 3087 3088 3089 3423 3424 3425
2915,3083 3084 3085 3086 3087 3088 3089 3423 3424 3425
2916,3083 3084 3085 3086 3087 3088 3089 3423 3424 3425
2917,3083 3084 3085 3086 3087 3088 3089 3423 3424 3425
2918,3083 3084 3085 3086 3087 3088 3089 3423 3424 3425
2919,3094 3096 3097 3101 3104 3256 3374 3416 3427 3428 3431 3432 3435 3436 3437 3526 3532 3534
2920,3094 3096 3097 3101 3102 3104 3238 3256 3257 3374 3416 3428 3431 3435 3436 3437 3438 3526 3532 3534 3537 3538
2921,3094 3096 3097 3101 3102 3104 3238 3256 3257 3374 3416 3428 3431 3435 3436 3437 3438 3526 3532 3534 3537 3538
2922,3094 3096 3097 3101 3102 3104 3238 3256 3257 3374 3416 3428 3431 3435 3436 3437 3438 3526 3532 3534 3537 3538
2923,3094 3096 3097 3101 3102 3104 3238 3256 3257 3374 3416 3428 3431 3435 3436 3437 3438 3526 3532 3534 3537 3538
2924,3094 3096 3097 3101 3102 3104 3256 3257 3374 3416 3428 3431 3432 3435 3436 3437 3438 3526 3532 3534 3537 3538
2925,3096 3097 3098 3101 3103 3104 3374 3416 3426 3427 3428 3431 3432 3435 3436 3526
2926,3094 3096 3097 3101 3102 3103 3104 3256 3257 3374 3416 3428 3431 3432 3435 3436 3438 3526 3532 3534 3537 3538
2927,3094 3096 3097 3101 3102 3103 3104 3256 3257 3374 3416 3427 3428 3431 3432 3435 3436 3437 3438 3526 3532 3534 3537 3538
2928,3092 3093 3098 3099 3373 3429 3430
2929,3092 3093 3098 3099 3373 3429 3430
2930,3092 3098 3099 3103 3427 3429 3430 3432
2931,3094 3096 3097 3101 3104 3374 3416 3427 3428 3431 3432 3435 3436 3437 3526 3532 3534
2932,3092 3098 3103 3427
2933,3092 3098 3103 3427
2934,3096 3097 3101 3104 3374 3416 3426 3427 3428 3432 3435 3436 3437 3526 3533
2935,3097 3104 3236 3426 3437 3533
2936,3094 3237 3238 3239 3515 3534 3549
2937,3094 3096 3097 3101 3102 3104 3256 3257 3374 3416 3428 3431 3432 3435 3436 3437 3438 3526 3532 3534 3537 3538
2938,3094 3096 3097 3098 3101 3102 3103 3104 3256 3257 3374 3416 3427 3428 3431 3432 3435 3436 3438 3526 3532 3534 3537 3538
2939,3094 3096 3097 3101 3102 3103 3104 3256 3257 3374 3416 3427 3428 3431 3432 3435 3436 3438 3526 3532 3534 3537 3538
2940,3094 3096 3097 3101 3102 3103 3104 3256 3257 3374 3416 3427 3428 3431 3432 3435 3436 3438 3526 3532 3534 3537 3538
2941,3094 3097 3104 3238 3428 3437 3533 3534
2942,3096 3097 3101 3104 3238 3374 3416 3426 3427 3428 3435 3436 3437 3526 3533 3534
2943,3094 3096 3101 3102 3256 3257 3374 3416 3428 3431 3432 3435 3436 3438 3526 3532 3534 3537 3538
2944,3094 3096 3101 3102 3256 3257 3374 3416 3428 3431 3432 3435 3436 3438 3526 3532 3534 3537 3538
2945,3094 3096 3101 3102 3256 3257 3374 3416 3428 3431 3432 3435 3436 3438 3526 3532 3534 3537 3538
2946,3094 3096 3101 3102 3256 3257 3374 3416 3428 3431 3432 3435 3436 3438 3526 3532 3534 3537 3538
2947,3094 3096 3101 3102 3256 3257 3374 3416 3428 3431 3432 3435 3436 3438 3526 3532 3534 3537 3538
2948,3094 3096 3101 3102 3256 3257 3374 3416 3428 3431 3432 3435 3436 3438 3526 3532 3534 3537 3538
2949,3094 3096 3101 3102 3256 3257 3374 3416 3428 3431 3432 3435 3436 3438 3526 3532 3534 3537 3538
2950,3094 3096 3101 3102 3256 3257 3374 3416 3428 3431 3432 3435 3436 3438 3526 3532 3534 3537 3538
2951,3094 3096 3101 3102 3256 3257 3374 3416 3428 3431 3432 3435 3436 3438 3526 3532 3534 3537 3538
2952,3094 3096 3101 3102 3256 3257 3374 3416 3428 3431 3432 3435 3436 3438 3526 3532 3534 3537 3538
